用語,解説
2つの帽子,「機能追加」と「リファクタリング」の作業を明確に分ける考え方。
3日後の自分は他人,自分の書いたコードでも数日経てば忘れるため、誰が見ても分かるように書くべきという戒め。
Active Record,データベースの1行を1つのオブジェクトとして扱うデザインパターン。
anyMatchメソッド,コレクション内に条件に一致する要素が一つでもあるか判定するメソッド。
APIドキュメント,プログラムのインターフェースの使用法を記述した文書。
Approve,コードレビューにおいて、変更を承認すること。
break,ループ（繰り返し）処理を途中で終了させる制御構文。
C#,Microsoftが開発したオブジェクト指向プログラミング言語。
CI,継続的インテグレーション。テストやビルドを自動化し品質を保つ手法。
CD,継続的デリバリー/デプロイメント（CD）
class構文,クラスを定義するための構文。
Code Climate Quality,コードの品質を自動で静的解析・スコアリングするサービス。
Common,汎用的な処理をまとめがちだが、低凝集の原因になりやすい命名。
continue,ループ処理の現在の反復をスキップし、次の反復へ進む制御構文。
Controller,MVCモデルにおいてユーザーの入力を制御し処理を振り分ける役割。
CQRS,コマンド・クエリ責務分離。参照と更新のモデルを分ける設計。
CQS,コマンド・クエリ分離。メソッドは状態変更か参照のどちらかのみ行うべきという原則。
Data Transfer Object,データの持ち運びのみを目的とした、ロジックを持たないオブジェクト。
Documentation comments,ソースコード内に記述する、ツールで抽出可能な形式のコメント。
DRY原則,Don't Repeat Yourself。同じ知識やロジックを重複させない原則。
DTO,Data Transfer Objectの略。
Entity,識別子（ID）によって一意に識別される、状態が変化するオブジェクト。
ER図,実体（Entity）と関連（Relationship）でデータの構造を視覚化した図。
ESLint,JavaScriptのコードを静的解析して問題を検出するツール。
final修飾子,変数やクラスの再代入や継承を禁止する修飾子（Javaなど）。
First Class Collection,コレクションを唯一のインスタンス変数として持つ、専用のクラス。
gem,Rubyのライブラリ（パッケージ）の単位。
getter,フィールド（メンバ変数）の値を取得するためのメソッド。
GitHub,Gitを用いたプログラムコードの管理・共有プラットフォーム。
Go,Googleが開発した、シンプルさとパフォーマンスを重視した言語。
IDE,統合開発環境。開発に必要なツールがまとまったソフトウェア。
if文,条件によって処理を分岐させるための構文。
instanceof,オブジェクトが特定の型であるかを判定する演算子。
IntelliJ IDEA,JetBrains社が提供するJava向けの高機能IDE。
Interface,実装を隠蔽し、外部とのやり取りのルール（型）を定義するもの。
internal,同じアセンブリ（プロジェクト）内からのみアクセス可能にする修飾子。
is...a?メソッド,Ruby等でオブジェクトの状態を真偽値で確認するメソッドの慣習。
Java,広く普及している静的型付けのオブジェクト指向言語。
Javadoc,JavaのコードからAPIドキュメントを自動生成する仕組み。
Javadocタグ,@paramや@returnなど、ドキュメントの構造を指定するタグ。
JavaScript,Webブラウザ等で動作する動的なプログラミング言語。
JUnit,Javaでユニットテスト（単体テスト）を行うためのフレームワーク。
Kotlin,Javaと互換性があり、より簡潔に記述できるモダンな言語。
Manager,多機能になりやすく、神クラス化の原因になりやすい命名。
MVC,Model-View-Controllerの略。UIとロジックを分離するパターン。
MVVM,Model-View-ViewModelの略。UIと状態を強く分離するパターン。
null,値が存在しないことを示す特殊な状態。バグの原因になりやすい。
null安全,nullによるエラー（NullPointerException等）を言語仕様で防ぐ仕組み。
null非許容型,nullを代入できないことを明示した型。
OAOO原則,Once and Only Once。同じコードを二度書かないという原則。
outキーワード,C#等でメソッドから複数の戻り値を返すために使うキーワード。
package private,同じパッケージ内からのみアクセスを許可する可視性。
Policyパターン,複雑な条件分岐（ルール）をオブジェクトとして独立させるパターン。
regionディレクティブ,コードの一部を折りたたんで表示するためのエディタへの指示。
Repositoryパターン,データの永続化（保存・取得）を抽象化するパターン。
RuboCop,Rubyのコードが規約に沿っているかチェックするツール。
